时间,模型,用时,提示,补全,花费,详情
2026-04-24 17:54:43,claude-sonnet-4-6,2,25184,16,75792,
2026-04-24 17:54:44,claude-haiku-4-5-20251001,4,664,44,5316,
2026-04-24 17:54:45,claude-haiku-4-5-20251001,4,2,107,3631,
2026-04-24 17:55:22,claude-sonnet-4-6,4,72,229,79107,
2026-04-24 17:55:23,claude-haiku-4-5-20251001,5,671,125,7787,
2026-04-24 18:02:48,claude-sonnet-4-6,3,253,99,77892,
2026-04-24 18:22:12,claude-haiku-4-5-20251001,1,701,12,4578,
2026-04-24 18:22:12,claude-haiku-4-5-20251001,1,2,17,954,
2026-04-24 18:22:15,claude-sonnet-4-6,3,25222,127,77571,
2026-04-24 18:22:18,claude-haiku-4-5-20251001,3,13417,161,85344,
2026-04-24 18:22:35,claude-haiku-4-5-20251001,3,2062,151,24964,
2026-04-24 18:22:40,claude-haiku-4-5-20251001,4,14188,130,98326,
2026-04-24 18:22:44,claude-haiku-4-5-20251001,3,5274,132,53415,
2026-04-24 18:22:49,claude-haiku-4-5-20251001,4,1838,105,35152,
2026-04-24 18:23:07,claude-haiku-4-5-20251001,17,729,1137,60561,
2026-04-24 18:23:10,claude-sonnet-4-6,2,2422,121,84729,
2026-04-24 18:23:13,claude-sonnet-4-6,2,265,54,84357,
2026-04-24 18:23:16,claude-sonnet-4-6,2,267,117,86076,
2026-04-24 18:23:21,claude-sonnet-4-6,4,7877,255,111744,
2026-04-24 18:23:26,claude-sonnet-4-6,4,302,124,110670,
2026-04-24 18:23:44,claude-sonnet-4-6,7,211,925,123180,
2026-04-24 18:24:25,claude-sonnet-4-6,34,985,4868,185223,
2026-04-24 18:24:35,claude-sonnet-4-6,3,4934,121,128745,
2026-04-24 18:24:39,claude-sonnet-4-6,3,169,89,128754,
2026-04-24 18:24:43,claude-sonnet-4-6,3,7067,120,150297,
2026-04-24 18:24:50,claude-sonnet-4-6,6,189,471,156048,
2026-04-24 18:27:18,claude-sonnet-4-6,4,1501,55,154128,
2026-04-24 18:27:28,claude-sonnet-4-6,8,127,1002,168627,
2026-04-24 18:27:45,claude-sonnet-4-6,9,1105,881,169938,
2026-04-24 18:27:53,claude-sonnet-4-6,4,938,184,162246,
2026-04-24 18:29:53,claude-sonnet-4-6,3,265,44,160815,
2026-04-24 18:29:58,claude-sonnet-4-6,4,683,203,165222,
2026-04-24 18:30:04,claude-sonnet-4-6,5,3194,199,174615,
2026-04-24 18:30:11,claude-sonnet-4-6,6,3078,126,182580,
2026-04-24 18:30:15,claude-sonnet-4-6,3,1519,28,185649,
2026-04-24 18:30:29,claude-sonnet-4-6,12,1299,1316,208725,
2026-04-24 18:30:46,claude-sonnet-4-6,15,1374,75,194175,
2026-04-24 18:30:55,claude-sonnet-4-6,4,1500,344,202620,
2026-04-24 18:31:04,claude-sonnet-4-6,7,414,74,199728,
2026-04-24 18:31:22,claude-sonnet-4-6,4,138,74,200052,
2026-04-24 18:31:30,claude-sonnet-4-6,4,118,166,201756,
2026-04-24 18:31:40,claude-sonnet-4-6,5,255,49,200604,
2026-04-24 18:31:46,claude-sonnet-4-6,5,146,342,205248,
2026-04-24 18:31:54,claude-sonnet-4-6,6,402,448,207990,
2026-04-24 18:32:06,claude-sonnet-4-6,8,565,319,207696,
2026-04-24 18:32:22,claude-sonnet-4-6,15,414,1921,232809,
2026-04-24 18:32:31,claude-sonnet-4-6,5,2051,319,214842,
2026-04-24 18:32:42,claude-sonnet-4-6,10,364,1230,229590,
2026-04-24 18:32:51,claude-sonnet-4-6,6,1346,319,219831,
2026-04-24 18:33:11,claude-sonnet-4-6,19,427,2595,255054,
2026-04-24 18:33:19,claude-sonnet-4-6,5,2710,319,228915,
2026-04-24 18:33:26,claude-sonnet-4-6,5,383,429,231648,
2026-04-24 18:33:46,claude-sonnet-4-6,16,586,1884,255042,
2026-04-24 18:34:03,claude-sonnet-4-6,14,1962,1771,259203,
2026-04-24 18:34:31,claude-sonnet-4-6,22,2240,333,244227,
2026-04-24 18:34:38,claude-sonnet-4-6,6,439,279,244542,
2026-04-24 18:34:51,claude-sonnet-4-6,4,537,52,242583,
2026-04-24 18:34:56,claude-sonnet-4-6,4,94,29,242445,
2026-04-24 18:35:02,claude-sonnet-4-6,5,291,52,243573,
2026-04-24 18:35:10,claude-sonnet-4-6,6,388,431,250317,
2026-04-24 18:35:19,claude-sonnet-4-6,8,477,447,251976,
2026-04-24 18:44:30,claude-haiku-4-5-20251001,1,680,66,6073,
2026-04-24 18:44:31,claude-haiku-4-5-20251001,2,683,12,4469,
2026-04-24 18:44:34,claude-sonnet-4-6,5,25209,39,76212,
2026-04-24 18:44:38,claude-sonnet-4-6,3,279,80,77493,
2026-04-24 18:44:41,claude-sonnet-4-6,2,3108,40,86148,
2026-04-24 18:44:47,claude-sonnet-4-6,5,1380,393,95475,
2026-04-24 18:44:51,claude-sonnet-4-6,2,471,90,92235,
2026-04-24 18:47:19,claude-sonnet-4-6,2,143,77,92400,
2026-04-24 18:47:24,claude-sonnet-4-6,4,317,306,96741,
2026-04-24 18:47:28,claude-sonnet-4-6,2,509,96,94935,
2026-04-24 18:49:26,claude-sonnet-4-6,4,820,136,97812,
2026-04-24 18:49:30,claude-sonnet-4-6,3,363,62,97635,
2026-04-24 18:49:35,claude-sonnet-4-6,4,362,116,99402,
2026-04-24 18:49:38,claude-sonnet-4-6,2,346,62,99504,
2026-04-24 18:49:43,claude-sonnet-4-6,4,227,219,102462,
2026-04-24 18:49:48,claude-sonnet-4-6,3,296,100,101460,
2026-04-24 18:52:19,claude-sonnet-4-6,4,281,95,102108,
2026-04-24 18:52:26,claude-sonnet-4-6,6,619,560,110865,
2026-04-24 18:52:31,claude-sonnet-4-6,3,644,83,105513,
2026-04-24 18:52:37,claude-sonnet-4-6,5,368,407,111465,
2026-04-24 18:52:42,claude-sonnet-4-6,3,497,79,107892,
2026-04-24 18:52:47,claude-sonnet-4-6,4,301,277,111618,
2026-04-24 18:52:54,claude-sonnet-4-6,5,464,222,112050,
2026-04-24 18:54:43,claude-sonnet-4-6,3,270,144,111642,
2026-04-24 18:54:47,claude-sonnet-4-6,2,199,35,110562,
2026-04-24 18:55:27,claude-sonnet-4-6,4,66,47,110919,
2026-04-24 18:55:31,claude-sonnet-4-6,3,138,138,112500,
2026-04-24 18:56:01,claude-sonnet-4-6,3,162,14,111096,
2026-04-24 18:56:06,claude-sonnet-4-6,4,1172,147,116505,
2026-04-24 18:56:11,claude-haiku-4-5-20251001,4,13454,151,85265,
2026-04-24 18:56:35,claude-haiku-4-5-20251001,10,1036,119,17869,
2026-04-24 18:56:41,claude-haiku-4-5-20251001,5,140,63,11434,
2026-04-24 18:56:44,claude-haiku-4-5-20251001,2,98,104,12495,
2026-04-24 18:56:48,claude-haiku-4-5-20251001,3,426,233,18391,
2026-04-24 18:56:51,claude-haiku-4-5-20251001,2,3142,125,31702,
2026-04-24 18:56:56,claude-haiku-4-5-20251001,4,2959,90,31439,
2026-04-24 18:57:00,claude-haiku-4-5-20251001,3,1761,174,28546,
2026-04-24 18:57:03,claude-haiku-4-5-20251001,2,4134,128,42460,
2026-04-24 18:57:07,claude-haiku-4-5-20251001,3,1473,97,28044,
2026-04-24 18:57:11,claude-haiku-4-5-20251001,3,152,90,20791,
2026-04-24 18:57:36,claude-haiku-4-5-20251001,23,421,2064,81715,
2026-04-24 18:57:45,claude-sonnet-4-6,8,4306,778,138828,
2026-04-24 18:57:48,claude-sonnet-4-6,2,14158,47,43179,
2026-04-24 18:57:53,claude-sonnet-4-6,4,1336,237,49995,
2026-04-24 18:57:56,claude-sonnet-4-6,2,8306,110,72840,
2026-04-24 18:57:59,claude-sonnet-4-6,2,1980,57,77835,
2026-04-24 18:58:14,claude-sonnet-4-6,2,151,39,77838,
2026-04-24 18:58:29,claude-sonnet-4-6,3,96,62,78402,
2026-04-24 18:58:33,claude-sonnet-4-6,2,228,31,78525,
2026-04-24 18:59:45,claude-sonnet-4-6,71,0,20,300,
2026-04-24 19:00:24,claude-haiku-4-5-20251001,1,2,12,784,
2026-04-24 19:00:24,claude-haiku-4-5-20251001,1,671,77,6347,
2026-04-24 19:00:26,claude-sonnet-4-6,3,25197,39,76176,
2026-04-24 19:01:17,claude-sonnet-4-6,1,103,49,76500,
2026-04-24 19:01:35,claude-sonnet-4-6,2,122,41,76629,
